variable,missing_rate
CHFLG_A,1.0
OGFLG_A,0.999988459984998
OPFLG_A,0.9999538399399919
PRPLCOV2_C_A,0.9999538399399919
CHHDHP_A,0.9999538399399919
GALLBAGETC_A,0.9998384397899718
LARYNAGETC_A,0.9998038197449657
CHXCHNG_A,0.9997922797299637
CHPREM_A,0.9997922797299637
CHDEDUC_A,0.9997922797299637
ESOPHAGETC_A,0.9995268593849173
INJFALLWRK_A,0.9994922393399112
MOUTHAGETC_A,0.999434539264901
PANCRAGETC_A,0.9993652991748889
RECTUAGETC_A,0.9993422191448849
LIVERAGETC_A,0.9993075990998789
STOMAAGETC_A,0.9992845190698748
OGHDHP_A,0.9992383590098667
BONEAGETC_A,0.9992037389648607
BRAINAGETC_A,0.9991575789048526
BLOODAGETC_A,0.9991460388898505
DIBINSSTYR_A,0.9990883388148405
PRPLCOV1_C_A,0.9990537187698344
THROAAGETC_A,0.998776758409786
TBILEAGUE_A,0.9984305579597254
MAFLG_A,0.9983497778547112
SHINGWHEN_A,0.9982574577346951
OPHDHP_A,0.9981766776296809
FAMCARECVD_A,0.9981535975996769
LEUKEAGETC_A,0.9981074375396688
HDNCKAGETC_A,0.9980266574346547
FLUPREG_A,0.9979920373896486
PLEXCHOG_A,0.997622756909584
OGXCHNG_A,0.997622756909584
OGPREM_A,0.997622756909584
OGDEDUC_A,0.997622756909584
HSAHRA2_A,0.9974958167445618
OVARYAGETC_A,0.9972188563845134
INJMVTYPE4_A,0.9970226761294789
INJMVTYPE3_A,0.9970226761294789
INJMVTYPE2_A,0.9970226761294789
INJMVTYPE1_A,0.9970226761294789
INJMVTYPE5_A,0.9970226761294789
PLNEXCHG2_A,0.9964802954243841
BLADDAGETC_A,0.9962148750793376
LYMPHAGETC_A,0.9960994749293174
VSLPALF_A,0.9960533148693094
THYROAGETC_A,0.9960302348393053
UTERUAGETC_A,0.9960071548093012
INJFALLHOM_A,0.9959956147942992
LUNGAGETC_A,0.9956609543592406
NATURPAIN_A,0.9954532340892043
NATURHLTH_A,0.9954532340892043
AGE65,0.9953724539841902
MAHDHP_A,0.995222433789164
PRPOLH2_A,0.9950608735791356
FLUPREG2_A,0.9950147135191276
RJCLSOFT1_A,0.994680053084069
CERVIAGETC_A,0.9945761929490509
FQUITE_A,0.9944261727540246
REPFUTWRK_A,0.9942992325890023
OPDEDUC_A,0.9942646125439963
PLEXCHOP_A,0.9942646125439963
OPXCHNG_A,0.9942646125439963
OPPREM_A,0.9942646125439963
INJHOSP_A,0.9942299924989902
MELANAGETC_A,0.9938030119439155
COLONAGETC_A,0.9935837516588771
COLRCAGETC_A,0.9929605908487681
VSLLGDYS_A,0.992925970803762
VSLLGDIF_A,0.992925970803762
PRHDHP2_A,0.992868270728752
ZOSTAWHEN_A,0.9928567307137499
SKNDKAGETC_A,0.9927644105937338
ACUPAIN_A,0.992325890023657
ACUHLTH_A,0.992325890023657
CQUITE_A,0.9918065893485661
FQUITA3_A,0.9912757486584732
FQUITA1_A,0.9912757486584732
FQUITA2_A,0.9912757486584732
FQUITB3_A,0.9912757486584732
FQUITB2_A,0.9912757486584732
FQUITB1_A,0.9912757486584732
FQUITA5_A,0.9912757486584732
FQUITA4_A,0.9912757486584732
FDSNEDAYS_A,0.9892677860481218
TBISPORT_A,0.9891754659281057
TBIEVAL_A,0.9891754659281057
INJFUTWRK_A,0.9891062258380936
OTHERAGETC_A,0.9890023657030754
SKNMAGETC_A,0.988771565403035
PRPLCOV2_A,0.9882638047429462
TSTSMLAST_A,0.98817148462293
TDAPPREG_A,0.9877791241128614
LCVDACT_A,0.9877329640528533
HICOSTR2_A,0.9871328832727483
VSLSPDIF_A,0.9866828226876695
VSLSPDYS_A,0.9866828226876695
VSLSPST_A,0.9866828226876695
RJCLSNOSD1_A,0.9863250822226068
RJCLSSD1_A,0.9863250822226068
INJER_A,0.9859327217125382
PROSTAGETC_A,0.9843978997172697
CQUITB2_A,0.983416998442098
CQUITB3_A,0.983416998442098
CQUITA1_A,0.983416998442098
CQUITB1_A,0.983416998442098
CQUITA2_A,0.983416998442098
CQUITA4_A,0.983416998442098
CQUITA3_A,0.983416998442098
CQUITA5_A,0.983416998442098
PLN2PAY1_A,0.9833246783220818
PRVSCOV2_A,0.9833246783220818
PLN2PAY2_A,0.9833246783220818
PLN2PAY3_A,0.9833246783220818
PRDNCOV2_A,0.9833246783220818
PRDEDUC2_A,0.9833246783220818
EXCHPR2_A,0.9833246783220818
POLHLD2_A,0.9833246783220818
PLNWRKR2_A,0.9833246783220818
PLN2PAY6_A,0.9833246783220818
PLN2PAY5_A,0.9833246783220818
PLN2PAY4_A,0.9833246783220818
PRRXCOV2_A,0.9833246783220818
SHINGWHEN1_A,0.9831631181120536
CFSNOW_A,0.9827938376319889
SHINGRIXN3_A,0.982205296866886
HILASTMY_A,0.9820668166868617
SHINGRIXN2_A,0.9818937164618314
EPIMED_A,0.9818244763718192
EPIDR_A,0.9818244763718192
EPINUMSEZP_A,0.9818244763718192
PROXYREL_A,0.9814551958917547
PROXY_A,0.9811205354566961
RECJOBSD1_A,0.9809243552016618
EARINFECT3_A,0.980474294616583
SDMSRSOFT1_A,0.980428134556575
VSLSWDYS_A,0.9801627142115285
VSLSWDIF_A,0.9801627142115285
HRAIDAQR_A,0.9799896139864982
PLEXCHPR1_A,0.9793779931913912
PRFLG_A,0.9793779931913912
PXCHNG1_A,0.9793779931913912
PRPREM1_A,0.9793779931913912
GIPRHLTH_A,0.9785701921412497
GIPRPAIN_A,0.9785701921412497
