Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.9641192917054986,0.4411764705882353,0.049342105263157895,0.08875739644970414,0.8227635154462243
Logistic Regression,0.9638863000931966,0.2,0.006578947368421052,0.012738853503184714,0.8133624936435292
Random Forest,0.9644687791239516,0.47058823529411764,0.02631578947368421,0.04984423676012461,0.7710651458810068
KNN,0.9641192917054986,0.16666666666666666,0.003289473684210526,0.0064516129032258064,0.6267293573607933
SVM (RBF),0.9645852749301025,0.0,0.0,0.0,0.6185696351385711
Decision Tree,0.929403541472507,0.12060301507537688,0.15789473684210525,0.13675213675213677,0.5573544368166794
